LABEL,DH_vap_CG,density_CG
1MIMI,19.542946249,0.96325
2MPYR,28.009796249,1.09715
2NIMX,41.344056249,1.0436500000000002
2NITL,38.418886248999996,1.12348
3HT,43.023556248999995,1.10331
3PT,32.478256249,1.1416400000000002
4MIMI,23.576646249,0.983111
4NIAN,29.750356249,0.9827670000000001
ACPH,33.060496248999996,1.09212
ANIL,25.671716248999996,0.988899
BEAL,25.236266249,1.03843
BENZ,18.531136249,0.893716
BRA,28.115126249000003,1.5245199999999999
BRBZ,25.230986248999997,1.65231
BZDOL,38.455306248999996,1.06154
BZNI,26.120976248999998,1.02302
BZQU,26.650176248999998,1.0971600000000001
BZTF,34.658616249,1.35897
CHEX,20.218586248999998,0.796917
CHEXE,20.403516249,0.778785
CLBZ,23.933846249,1.1743
CLPR,48.146756249,1.30322
CLTL,28.852186249,1.1195
CPR,-1.249613751000001,0.005967419999999999
CUME,33.870356249,1.1191900000000001
CYPE,17.550876249,0.88425
CYPO,14.112616249,0.9199740000000001
CYPOL,15.031486249,0.936645
DBRBZ,33.421846249,2.2618
DCLBZ,31.578106249,1.40225
DIOX,25.663876248999998,1.02501
DMAN,35.954046249,1.14138
DMBZQ,35.944486249,1.05507
DXLA,19.412886249,1.0623900000000002
EBEN,,
FURA,24.455716248999998,1.0543099999999999
IMID,32.925376248999996,1.07796
IOBZ,36.753236249,1.96831
IOPHE,41.30401624900001,1.9533099999999999
MBZOA,37.723656248999994,1.01555
MCYPE,20.611126249,0.806747
MESI,27.927726249,0.75935
MXYLE,26.248766249,0.8337559999999999
NBAPH,50.585456248999996,1.31836
NIBZ,33.864646249,1.15369
OMA,26.263786249,0.90774
OXYLE,27.645276249000002,0.877236
PBEN,,
PBZOA,41.573456248999996,1.12582
PCRE,20.974156249,0.889953
PCYM,34.178196248999996,0.9026109999999999
PHEN,28.599656249,1.0663699999999998
PIPER,18.773356249,0.788062
PXYLE,21.051886249,0.832425
PYAZ,21.790956249,1.07076
PYLI,17.728076249,0.9414880000000001
PYMI,20.440176248999997,1.00271
PYRI,22.050346249,1.08728
PYRR,20.950506249,0.904676
STYR,26.852496248999998,0.989183
TCLBZ,38.398536249,1.5504
THAZ,24.845286249,1.23437
THF,17.937696249,0.993654
THIO,23.459336248999996,1.15811
THP,21.496576249,0.88738
THPH,27.193686249,1.20481
THT,18.383116249,1.16
TOLU,23.903336249,0.93138
XBZ,24.543366249,1.02213
2T,56.865036249,1.5028299999999999
ANTH,59.476786249,1.2403199999999999
BZIM,46.778426249,1.2437
BZTA,41.838946249,1.32897
BZTH,41.632196248999996,1.28504
CAFF,60.884676249,1.3581400000000001
CNAP,41.021726249,1.29472
ENAPH,45.464256248999995,1.16811
INDA,42.011016249,1.14697
INDO,38.857886249,1.1124
MIND,32.202546249,1.05398
MINDA,32.375616249,1.09369
MNAP,40.244936249,1.0815599999999999
NAPH,36.330906249,1.09628
NAPY,37.939216249000005,1.18616
NDMBI,,
QUIN,35.428626249,1.13596
TDMBI,,
TECE,83.09927624899998,1.30468
THPY,41.527396249,1.32621
XNAPH,43.456356249,1.16003
