LABEL,DH_vap_CG,density_CG
1MIMI,19.265926249,0.955951
2MPYR,20.312756249,1.01397
2NIMX,33.654656249,1.04432
2NITL,31.268856249000002,1.12178
3HT,28.061756249,1.06424
3PT,23.626256248999997,1.08071
4MIMI,23.735996249,0.970839
4NIAN,18.263956249,0.9870639999999999
ACPH,23.777856249,1.0388199999999999
ANIL,27.014046249,1.03692
BEAL,25.688526249,1.0380699999999998
BENZ,18.467636249,0.890467
BRA,20.532956248999998,1.5168499999999998
BRBZ,19.652456249,1.6528900000000002
BZDOL,33.602356248999996,1.06348
BZNI,16.092356248999998,0.948059
BZQU,19.453756248999998,1.09955
BZTF,26.317156249,1.31898
CHEX,20.467376249,0.7931849999999999
CHEXE,21.254116249,0.8036559999999999
CLBZ,23.394876249,1.153
CLPR,29.237856249,1.3037699999999999
CLTL,23.544656249,1.12121
CPR,-1.245073751000001,0.00449297
CUME,19.461956249,1.05308
CYPE,16.914746249,0.86942
CYPO,15.278616248999999,0.975821
CYPOL,22.247106248999998,0.8953880000000001
DBRBZ,28.876256248999997,2.26918
DCLBZ,30.105266249000003,1.3595
DIOX,23.895706249,0.9891230000000001
DMAN,33.335546249000004,1.05013
DMBZQ,28.595956249,1.05528
DXLA,19.339816249000002,1.05996
EBEN,16.858356249,0.957187
FURA,20.504796248999998,0.921057
IMID,28.098846249,0.951298
IOBZ,31.760656249,1.96194
IOPHE,36.448056249,1.9557
MBZOA,23.288356249,0.9640230000000001
MCYPE,14.191256248999998,0.808982
MESI,28.150956249,0.7602519999999999
MXYLE,25.762786248999998,0.830879
NBAPH,31.960756249,1.3173
NIBZ,25.326956249,1.13443
OMA,26.253696249,0.903277
OXYLE,27.602176249000003,0.8792490000000001
PBEN,17.328156249000003,0.9942190000000001
PBZOA,31.555956249,1.1248699999999998
PCRE,24.794226248999998,1.0070700000000001
PCYM,34.430246249,0.9057459999999999
PHEN,27.753366249,1.06
PIPER,19.041276249,0.787211
PXYLE,14.163556248999999,0.833667
PYAZ,17.329156249,1.07192
PYLI,16.225066249,0.860336
PYMI,20.138866249,0.9995069999999999
PYRI,18.515576249,0.951268
PYRR,21.348436249000002,0.9085610000000001
STYR,22.971016248999998,0.870246
TCLBZ,33.625556249,1.549
THAZ,24.491036248999997,1.2337799999999999
THF,16.433866248999998,0.913538
THIO,20.999666248999997,1.05378
THP,12.588456249,0.792846
THPH,24.404286249,1.09792
THT,16.204156249,1.0646900000000001
TOLU,23.901186249,0.924588
XBZ,22.074616248999998,0.955047
2T,54.942156249,1.4064
ANTH,52.366956249,1.24188
BZIM,39.381756249000006,1.2437799999999999
BZTA,34.314556249,1.3268900000000001
BZTH,34.047456249,1.2826
CAFF,61.312306248999995,1.36062
CNAP,33.504156249000005,1.29489
ENAPH,30.457956249,1.16816
INDA,34.420656249000004,1.1489
INDO,38.242956249,1.11059
MIND,32.043536249,1.05535
MINDA,25.028556248999998,1.09277
MNAP,33.029456249,1.08201
NAPH,36.172936249,1.0928900000000001
NAPY,30.349156249,1.18874
NDMBI,,
QUIN,28.284956249,1.13394
TDMBI,,
TECE,75.02685624899999,1.30361
THPY,38.693466249000004,1.23991
XNAPH,28.350056248999998,1.16119
